# ML Zoomcamp 2026 full distrust audit; active occurrence rows are final state.
# Contact sheets: all nine module sheets reviewed; native/lesson-size spot checks included.
# Status is explicit per occurrence: final active rows PASS; pre-fix action rows FAIL with disposition.
record	status	disposition	module	lesson	line	reference	alt_or_label	source_type	dimensions	crispness	overlays	fidelity	context_before	context_after	note	remote_check
active	PASS	KEEP	04-evaluation	04-precision-recall.md	44	images/04-precision-recall-04-recall-definition-crisp.png	The definition of recall: the fraction of correctly identified positive examples	original screenshot	916x720	PASS	none	PASS	```	For our model:		
active	PASS	KEEP	04-evaluation	04-precision-recall.md	57	images/04-precision-recall-05-recall-example-crisp.png	A recall example: three of the four actual churners are flagged, one is missed	original screenshot	800x710	PASS	none	PASS	Again in the terms of the problem: 210 + 176 = 386 customers actually churned, but our model flagged only 210 of them. For the remaining 176 - about 46% of all churners - we did nothing: no email, no discount, and the customer left. This is the part accuracy never showed us.	## Why not just accuracy		
active	PASS	KEEP	04-evaluation	04-precision-recall.md	63	images/04-precision-recall-06-precision-recall-table-crisp.png	Precision looks at the predicted-positive column, recall at the actual-positive row of the confusion table	original screenshot	996x640	PASS	none	PASS	Recall what accuracy said: 80% correct, only 4 points above the dummy model. Precision and recall explain where the model actually stands: of the customers we alert, two thirds are real (precision 67%), but we miss almost half of the customers who leave (recall 54%).	These numbers reflect the errors of our model that accuracy did not notice because of class imbalance: churners are only 27% of the data, so the 12% of false negatives barely move the accuracy number, yet they are half of all the customers we care about. When the classes are imbalanced - churn, fraud, medical diagnosis - precision and recall are the metrics to look at.		
active	PASS	KEEP	04-evaluation	04-precision-recall.md	67	images/04-precision-recall-07-metrics-summary-crisp.png	Precision 67%, recall 54%, accuracy 80% - the three numbers together	original screenshot	880x660	PASS	none	PASS	These numbers reflect the errors of our model that accuracy did not notice because of class imbalance: churners are only 27% of the data, so the 12% of false negatives barely move the accuracy number, yet they are half of all the customers we care about. When the classes are imbalanced - churn, fraud, medical diagnosis - precision and recall are the metrics to look at.	## Materials		
active	PASS	KEEP	04-evaluation	05-roc.md	75	images/05-roc-01-tpr-fpr-vs-threshold-crisp.png	TPR and FPR of the model at different thresholds	original screenshot	1488x992	PASS	none	PASS	```	## The random model		
active	PASS	KEEP	04-evaluation	05-roc.md	88	images/05-roc-02-random-model-tpr-fpr-crisp.png	TPR and FPR of the random model at different thresholds	original screenshot	1488x992	PASS	none	PASS	Its accuracy at threshold 0.5 is `0.5017743080198722` - a coin flip, as expected. Computing the TPR/FPR table for these random scores (with the same loop, wrapped in a reusable function `tpr_fpr_dataframe`) and plotting gives two almost straight lines going down together:	For the random model, at any threshold the fraction of positives we catch is the same as the fraction of negatives we bother - it cannot tell the two groups apart.		
active	PASS	KEEP	04-evaluation	05-roc.md	112	images/05-roc-03-ideal-model-tpr-fpr-crisp.png	TPR and FPR of the ideal model at different thresholds	original screenshot	1488x992	PASS	none	PASS	This gives `1.0` - perfect predictions, as an ideal model should. Its TPR and FPR vs threshold:	The ideal TPR stays at 1.0 for every threshold below 0.726 - it catches all churners while they all score higher than any non-churner - and only then drops. The ideal FPR falls to 0 at that same point.		
active	PASS	KEEP	04-evaluation	05-roc.md	130	images/05-roc-04-model-vs-ideal-tpr-fpr-crisp.png	Model TPR and FPR against the ideal model	original screenshot	1552x1056	PASS	none	PASS	```	## The ROC curve		
active	PASS	KEEP	04-evaluation	05-roc.md	148	images/05-roc-05-roc-curve-manual-crisp.png	ROC curve of the model against the random baseline	original screenshot	1384x1332	PASS	none	PASS	```	The lesson to take away: the closer the curve hugs the top-left corner - high true positive rate at a low false positive rate - the better the model. A curve sitting on the diagonal belongs to a random model.		
active	PASS	KEEP	04-evaluation	05-roc.md	176	images/05-roc-06-roc-curve-sklearn-crisp.png	ROC curve computed with sklearn roc_curve	original screenshot	1384x1332	PASS	none	PASS	```	What kind of information do we get from this curve - and how do we boil it down to a single number? That is the ROC AUC metric, the topic of the next lesson.		
active	PASS	KEEP	04-evaluation	06-auc.md	22	images/06-auc-02-auc-values-imagegen.png	The area under the ROC curve: 0.5 for a random model, 1.0 for an ideal one, with 0.8, 0.9 and 0.6 in between	conceptual imagegen	1536x1024	PASS	none	PASS	A real model lands between 0.5 and 1: the closer its curve is to the top-left corner, the larger the area under it. As a rule of thumb, an AUC around 0.8 is considered good, 0.9 is great, and 0.6 is poor.	Scikit-learn computes the area with `auc`, which works for any curve, not only ROC curves:		
active	PASS	KEEP	04-evaluation	06-auc.md	34	images/06-auc-03-auc-notebook-crisp.png	Computing the area with sklearn auc: for the sklearn curve and for the hand-computed table	original screenshot	3462x1752	PASS	none	PASS	This gives `0.843850505725819`. Feeding it the table we computed by hand in the previous lesson gives practically the same number - `0.8438796286447967` - and the ideal curve gives `0.9999430203759136`, almost exactly 1.	There is also a shortcut that computes the ROC curve and the area in one step:		
active	PASS	KEEP	04-evaluation	06-auc.md	46	images/06-auc-04-roc-auc-score-crisp.png	The roc_auc_score shortcut giving the same value	original screenshot	3462x1752	PASS	none	PASS	This gives `0.843850505725819` - the same value as with `auc(fpr, tpr)`. Our churn model has an AUC of 0.84: clearly better than random, not far from ideal.	## Interpreting AUC		
active	PASS	KEEP	04-evaluation	06-auc.md	54	images/06-auc-05-auc-interpretation-imagegen.png	The AUC interpretation: comparing the scores of a randomly selected positive and a randomly selected negative customer	conceptual imagegen	1572x1001	PASS	none	PASS	In our case: pick a random customer who churned and a random customer who stayed - how likely is it that our model gave the churner the higher risk score? That probability is exactly the AUC.	We can check this by simulation. First we split the predictions into the scores of negatives and positives:		
active	PASS	KEEP	04-evaluation	06-auc.md	81	images/06-auc-06-auc-simulation-crisp.png	The simulation in the notebook: 100000 random positive-negative pairs, 84% of them won by the positive	original screenshot	3030x1680	PASS	none	PASS	```	The result is `0.8434` - practically the same as the AUC of `0.843850505725819`.		
active	PASS	KEEP	04-evaluation	07-cross-validation.md	42	images/07-cross-validation-02-train-predict-crisp.png	Applying predict and initializing KFold in the notebook	original screenshot	3030x1110	PASS	none	PASS	```	## K-fold cross-validation		
active	PASS	KEEP	04-evaluation	07-cross-validation.md	48	images/07-cross-validation-01-kfold-diagram-pilot.png	K-fold cross-validation with three folds: train on two, validate on the remaining one, then average the AUCs	conceptual imagegen	1555x1012	PASS	none	PASS	The idea of k-fold cross-validation: split the full training dataset into k partitions (folds). Train the model on k-1 folds, evaluate on the remaining one. Repeat k times, so every fold serves as the validation set once, and average the scores.	Scikit-learn implements the splitting with `KFold`. With `shuffle=True` the rows are shuffled before splitting, and `random_state=1` makes the shuffle reproducible:		
active	PASS	KEEP	04-evaluation	07-cross-validation.md	60	images/07-cross-validation-03-split-generator-crisp.png	Demonstrating the split generator: every split gives a training and a validation part	original screenshot	3030x1800	PASS	none	PASS	`kfold.split(df_full_train)` is a Python generator: each call to `next` yields the next split as two arrays of row indices - the indices to train on and the indices to validate on. We slice the dataframe with `iloc`, train, predict and score with AUC:	```python		
active	PASS	KEEP	04-evaluation	07-cross-validation.md	88	images/07-cross-validation-04-tuning-loop-crisp.png	The parameter-tuning loop: five-fold cross-validation for each value of C	original screenshot	3030x1710	PASS	none	PASS	```	The `tqdm` wrapper draws a progress bar so we can see the loop moving. The output:		
active	PASS	KEEP	04-evaluation	07-cross-validation.md	102	images/07-cross-validation-05-tuning-results-crisp.png	The tuning results: mean and standard deviation of AUC for each C	original screenshot	3030x1080	PASS	none	PASS	```	For each value of `C` we get the mean AUC across the 5 folds and the standard deviation. The mean tells us the average performance; the standard deviation tells us how spread out the scores are across the folds - how stable the model is. For example, for the last run (`C=10`) the five fold scores were:		
active	PASS	KEEP	04-evaluation	07-cross-validation.md	134	images/07-cross-validation-06-final-model-crisp.png	Training the final model on the full training data and evaluating it on the test set: AUC 0.857	original screenshot	3030x1680	PASS	none	PASS	This gives `0.8572386167896259`. That is slightly better than the cross-validation average - a small difference like this is normal.	## When to use cross-validation		
active	PASS	KEEP	04-evaluation	08-summary.md	17	images/08-summary-01-metrics-list-crisp.png	The summary slide in the notebook: the metrics of this module in one list	original screenshot	3462x930	PASS	none	PASS	- K-Fold CV: a more reliable estimate for performance (mean + std), used for parameter tuning	With the metric chosen and the parameter tuned, the model is ready: in module 5 we take this churn model and deploy it as a service. There are also a few ideas to dig deeper in [Explore more](09-explore-more.md).		
active	PASS	KEEP	04-evaluation	09-explore-more.md	6	images/09-explore-more-01-threshold-precision-recall-imagegen.png	A classifier score distribution connects a threshold to confusion counts, precision, recall, and the precision-recall curve.	conceptual imagegen	1672x941	PASS	none	PASS	deeper into the topics of this module:	*Figure: Changing the threshold changes the precision-recall trade-off.*		
active	PASS	KEEP	05-deployment	01-intro.md	10	images/01-intro-01-title-crisp.png	Deploying machine learning models	original screenshot	864x672	PASS	none	PASS	systems can call over the network.	## The problem: the model lives in a notebook		
active	PASS	KEEP	05-deployment	01-intro.md	31	images/01-intro-02-model-deployment-diagram-imagegen-pilot.png	The marketing service asks the churn service, which uses the model, for predictions	conceptual imagegen	1536x1024	PASS	none	PASS	promo email or do nothing.	## The plan for this module		
active	PASS	KEEP	05-deployment	01-intro.md	38	images/01-intro-03-module-plan-crisp.png	The plan of the module, from the lesson notes	original screenshot	910x600	PASS	none	PASS	by step:	- Saving and loading the model with pickle, and turning the notebook into a		
active	PASS	KEEP	05-deployment	01-intro.md	53	images/01-intro-04-module-plan-continued-crisp.png	The second half of the plan: Pipenv, Docker and AWS	original screenshot	910x600	PASS	none	PASS	(optional), which makes the service available on the internet.	Each step removes one thing that ties the model to our laptop: the notebook,		
active	PASS	KEEP	05-deployment	01-intro.md	59	images/01-intro-05-environments-crisp.png	The web service wraps the model, Pipenv wraps the Python dependencies, Docker wraps everything	original screenshot	1478x1064	PASS	none	PASS	and finally the local machine itself.	## Materials		
active	PASS	KEEP	05-deployment	02-pickle.md	13	images/02-pickle-01-module-plan-crisp.png	The plan of the module: saving and loading the model	original screenshot	1020x572	PASS	none	PASS	later without training it again.	## Why we need to save the model		
active	PASS	KEEP	05-deployment	02-pickle.md	42	images/02-pickle-02-pickle-dump-crisp.png	Saving the vectorizer and the model as a tuple with pickle	original screenshot	1070x614	PASS	none	PASS	```	The `'wb'` mode means write-binary - pickle produces binary data, so we must		
active	PASS	KEEP	05-deployment	02-pickle.md	49	images/02-pickle-03-model-filename-crisp.png	The filename contains the value of C	original screenshot	1070x590	PASS	none	PASS	it is useful to see it in the filename: `model_C=1.0.bin`.	The vectorizer has to travel with the model. It was fitted on the training		
active	PASS	KEEP	05-deployment	02-pickle.md	70	images/02-pickle-04-loaded-model-crisp.png	Loading the model back: the tuple unpacks into the vectorizer and the model	original screenshot	1070x590	PASS	none	PASS	without running any training code.	One warning: never unpickle a file from a source you do not trust. Pickle		
active	PASS	KEEP	05-deployment	02-pickle.md	89	images/02-pickle-05-train-py-crisp.png	The train.py script: the predict function and the cross-validation loop	original screenshot	1020x584	PASS	none	PASS	- training the final model and saving it with pickle.	A script is what we will actually run on a server: it is reproducible, it can		
active	PASS	KEEP	05-deployment	03-flask-intro.md	12	images/03-flask-intro-01-module-overview-crisp.png	The plan of the module: web services are the focus of this week	original screenshot	928x688	PASS	none	PASS	"Flask app that answers a ping request with ""PONG""."	## What is a web service?		
active	PASS	KEEP	05-deployment	03-flask-intro.md	21	images/03-flask-intro-02-request-response-crisp.png	A client sends a request to the web service and gets a response back	original screenshot	928x600	PASS	none	PASS	sends back a response.	The client says not only where to send the request, but also what it wants to		
active	PASS	KEEP	05-deployment	03-flask-intro.md	55	images/03-flask-intro-03-ping-app-crisp.png	The ping.py service in the editor	original screenshot	920x584	PASS	none	PASS	```	Line by line:		
active	PASS	KEEP	05-deployment	04-flask-deployment.md	15	images/04-flask-deployment-01-module-plan-crisp.png	The plan of the module: serving the churn model with Flask	original screenshot	920x572	PASS	none	PASS	the churn probability.	## The web service		
active	PASS	KEEP	05-deployment	04-flask-deployment.md	57	images/04-flask-deployment-02-predict-py-crisp.png	The predict.py service in the editor	original screenshot	920x584	PASS	none	PASS	```	The parts worth noting:		
active	PASS	KEEP	05-deployment	04-flask-deployment.md	75	images/04-flask-deployment-03-json-serializable-error-crisp.png	Flask cannot serialize NumPy types to JSON, so we cast to native Python types	original screenshot	960x546	PASS	none	PASS	- `jsonify(result)` turns the dictionary into a JSON response.	## Testing the service		
active	PASS	KEEP	05-deployment	04-flask-deployment.md	113	images/04-flask-deployment-04-test-request-crisp.png	Sending a test request with the requests library	original screenshot	960x200	PASS	none	PASS	```	This is exactly how a marketing service would talk to our model: send		
active	PASS	KEEP	05-deployment	04-flask-deployment.md	127	images/04-flask-deployment-05-dev-server-warning-crisp.png	Flask warns that the development server is not for production	original screenshot	922x374	PASS	none	PASS	network work around it.	The common choice is gunicorn:		
active	PASS	KEEP	05-deployment	04-flask-deployment.md	148	images/04-flask-deployment-06-waitress-windows-crisp.png	gunicorn fails on Windows because of the fcntl module; waitress is the alternative	original screenshot	900x380	PASS	none	PASS	```	The [next unit](05-pipenv.md) deals with the remaining piece: keeping the		
active	PASS	KEEP	05-deployment	05-pipenv.md	13	images/05-pipenv-01-title-imagegen.png	Environment and dependency management	conceptual imagegen	1672x941	PASS	none	PASS	we tested it with.	## The problem: conflicting library versions		
active	PASS	KEEP	05-deployment	05-pipenv.md	23	images/05-pipenv-02-version-conflict-imagegen.png	Two services sharing one system Python: upgrading scikit-learn for one breaks the other	conceptual imagegen	1672x941	PASS	none	PASS	the other breaks.	The fix is a virtual environment: a private set of packages for one project.		
active	PASS	KEEP	05-deployment	05-pipenv.md	29	images/05-pipenv-03-isolated-environments-imagegen.png	Each service gets its own virtual environment - no conflicts	conceptual imagegen	1672x941	PASS	none	PASS	or with the system Python.	There are many tools for this - `venv`, `conda`, `poetry`. In this course we		
active	PASS	KEEP	05-deployment	05-pipenv.md	36	images/05-pipenv-04-venv-tools-imagegen.png	Tools for virtual environments: venv, conda, pipenv, poetry	conceptual imagegen	1672x941	PASS	none	PASS	server later.	## Installing libraries with Pipenv		
active	PASS	KEEP	05-deployment	05-pipenv.md	84	images/05-pipenv-05-pipenv-install-lock-crisp.png	Installing the dependencies: Pipfile updated, Pipfile.lock created	original screenshot	2754x1680	PASS	none	PASS	stops being a mystery, because the server installs precisely what we tested.	## Running things with Pipenv		
active	PASS	KEEP	05-deployment	05-pipenv.md	104	images/05-pipenv-06-shell-path-crisp.png	Inside the shell, gunicorn resolves to the virtual environment's bin directory	original screenshot	2670x870	PASS	none	PASS	packages, so we can start the service as usual:	```bash		
active	PASS	KEEP	05-deployment	06-docker.md	13	images/06-docker-01-module-plan-crisp.png	The plan of the module: environment management with Docker	original screenshot	2724x750	PASS	none	PASS	dependencies, independent of the host machine.	## Installing Docker		
active	PASS	KEEP	05-deployment	06-docker.md	51	images/06-docker-02-containers-on-host-imagegen.png	Each container carries its own OS and Python version - complete isolation	conceptual imagegen	1672x941	PASS	none	PASS	machine that runs Docker.	## The Dockerfile		
active	PASS	KEEP	05-deployment	06-docker.md	77	images/06-docker-03-base-image-docker-hub-crisp.png	Choosing the python:3.8.12-slim base image on Docker Hub	original screenshot	3030x630	PASS	none	PASS	```	Instruction by instruction:		
active	PASS	KEEP	05-deployment	06-docker.md	108	images/06-docker-04-dockerfile-crisp.png	Writing the Dockerfile for the churn service	original screenshot	2700x1650	PASS	none	PASS	is what makes Docker run the command directly, without a shell wrapping it.	## Building and running		
active	PASS	KEEP	05-deployment	06-docker.md	133	images/06-docker-05-port-mapping-imagegen.png	Port publishing: the test script talks to port 9696 on the host, which maps into the container	conceptual imagegen	1672x941	PASS	none	PASS	container.	The test script from the [previous unit](04-flask-deployment.md) now talks to		
active	PASS	KEEP	05-deployment	07-aws-eb.md	9	images/07-aws-eb-01-module-plan-crisp.png	The plan of the module: deployment to the cloud with AWS Elastic Beanstalk	original screenshot	2724x750	PASS	none	PASS	Elastic Beanstalk, which makes it reachable from anywhere on the internet.	## Why the cloud		
active	PASS	KEEP	05-deployment	07-aws-eb.md	31	images/07-aws-eb-02-eb-architecture-imagegen.png	The marketing service talks to the churn service inside the Elastic Beanstalk environment	conceptual imagegen	1672x941	PASS	none	PASS	churn probability, and EB relays the answer back.	## Deploying step by step		
active	PASS	KEEP	05-deployment	07-aws-eb.md	54	images/07-aws-eb-03-eb-init-crisp.png	Initializing the EB application with eb init	original screenshot	2580x1440	PASS	none	PASS	- `churn-serving` - the name of the application.	You can look at the generated configuration with `less		
active	PASS	KEEP	05-deployment	07-aws-eb.md	64	images/07-aws-eb-04-eb-local-test-crisp.png	Testing the service locally: the test script gets a prediction from the container	original screenshot	2502x1140	PASS	none	PASS	```	The test script from the [earlier unit](04-flask-deployment.md) can test it		
active	PASS	KEEP	05-deployment	07-aws-eb.md	73	images/07-aws-eb-05-eb-create-crisp.png	Creating the environment: EB starts instances, a load balancer and an auto scaling group	original screenshot	2580x1230	PASS	none	PASS	```	This takes a few minutes: EB starts the instances, deploys the container and		
active	PASS	KEEP	05-deployment	07-aws-eb.md	81	images/07-aws-eb-06-eb-url-test-crisp.png	The test script now points to the Elastic Beanstalk environment URL	original screenshot	3318x1560	PASS	none	PASS	them to the container.	Two things to keep in mind. The environment URL is public - anyone who finds		
active	PASS	KEEP	05-deployment	07-aws-eb.md	93	images/07-aws-eb-07-terminate-environment-crisp.png	Terminating the environment from the EB console when it is no longer needed	original screenshot	3588x1470	PASS	none	PASS	```	## Materials		
active	PASS	KEEP	05-deployment	08-summary.md	10	images/08-summary-01-module-plan-crisp.png	The plan of the module: from saving the model to web services	original screenshot	2730x1800	PASS	none	PASS	that other systems can call.	## What we covered		
active	PASS	KEEP	05-deployment	08-summary.md	32	images/08-summary-02-module-plan-continued-crisp.png	The second half of the plan: Pipenv, Docker and AWS Elastic Beanstalk	original screenshot	2730x720	PASS	none	PASS	container on AWS machines and makes the service available on the internet.	To summarize the whole module in one list:		
active	PASS	KEEP	05-deployment	08-summary.md	42	images/08-summary-03-summary-list-crisp.png	The whole module in one list, from the lesson plan	original screenshot	2730x840	PASS	none	PASS	- Deploy to the cloud (AWS Elastic Beanstalk)	The [next unit](09-explore-more.md) has no video - it lists other tools you		
active	PASS	KEEP	05-deployment	09-explore-more.md	6	images/09-explore-more-01-deployment-choices-imagegen.png	A packaged model can be served through different frameworks, environments, and cloud destinations.	conceptual imagegen	1672x941	PASS	none	PASS	deeper into the topics of this module:	*Figure: Deployment choices form a stack from the model artifact to the cloud.*		
active	PASS	KEEP	06-trees	01-credit-risk.md	24	images/01-credit-risk-01-loan-application-imagegen.png	A client applies for a loan, the bank answers yes or no	conceptual imagegen	1536x1024	PASS	none	PASS	default? For example:	- Customer A - OK		
active	PASS	KEEP	06-trees	01-credit-risk.md	32	images/01-credit-risk-02-historical-data-imagegen.png	Historical data: customers and whether they paid back	conceptual imagegen	1536x1024	PASS	none	PASS	- Customer E - OK	We use this data to train a model. Then, when a new customer applies		
active	PASS	KEEP	06-trees	01-credit-risk.md	60	images/01-credit-risk-03-probability-of-default-imagegen.png	The target y is 0 for OK and 1 for default; g(x) is the probability of default	conceptual imagegen	1672x941	PASS	none	PASS	is a likely defaulter and the bank may decline the application.	## The dataset		
active	PASS	KEEP	06-trees	01-credit-risk.md	69	images/01-credit-risk-04-dataset-columns-crisp.png	The columns of the credit scoring dataset	original screenshot	860x660	PASS	none	PASS	`status` - it says whether the customer defaulted or not.	The dataset is available on		
active	PASS	KEEP	06-trees	01-credit-risk.md	89	images/01-credit-risk-05-module-plan-crisp.png	The plan of the module, as a table of contents in the notebook	original screenshot	1000x640	PASS	none	PASS	train the models, compare them, and pick the best one.	## Materials		
active	PASS	KEEP	06-trees	02-data-prep.md	40	images/02-data-prep-01-download-data-crisp.png	Downloading CreditScoring.csv and looking at the raw file	original screenshot	1152x570	PASS	none	PASS	with `head`:	```text		
active	PASS	KEEP	06-trees	02-data-prep.md	93	images/02-data-prep-02-decode-status-crisp.png	Decoding the status column with a dictionary and map	original screenshot	1152x570	PASS	none	PASS	```	We do the same for the other categorical columns:		
active	PASS	KEEP	06-trees	02-data-prep.md	176	images/02-data-prep-03-encoded-missing-values-crisp.png	The summary statistics show the encoded missing values	original screenshot	1152x570	PASS	none	PASS	"nines. Instead of NaN, ""unknown"" became 99999999."	We replace these values with NaN:		
active	PASS	KEEP	06-trees	02-data-prep.md	189	images/02-data-prep-04-replace-missing-with-nan-crisp.png	After replacing 99999999 with NaN the statistics look realistic	original screenshot	1152x570	PASS	none	PASS	4437) and the maximums become realistic.	## Removing the one unknown status		
active	PASS	KEEP	06-trees	02-data-prep.md	200	images/02-data-prep-05-remove-unknown-status-crisp.png	Filtering out the one customer with unknown status	original screenshot	1152x570	PASS	none	PASS	```	This leaves 4454 rows.		
active	PASS	KEEP	06-trees	02-data-prep.md	220	images/02-data-prep-06-train-val-test-split-crisp.png	The two-step split and resetting the indexes	original screenshot	1152x570	PASS	none	PASS	We reset the indexes so they are fresh and unique in each dataframe:	```python		
active	PASS	KEEP	06-trees	02-data-prep.md	239	images/02-data-prep-07-binary-target-crisp.png	Turning the status column into a binary target	original screenshot	1152x570	PASS	none	PASS	```	Finally, we delete `status` from the dataframes - otherwise we would		
active	PASS	KEEP	06-trees	03-decision-trees.md	37	images/03-decision-trees-01-risk-rules-tree-imagegen.png	The same rules drawn as a tree	conceptual imagegen	1705x923	PASS	none	PASS	their assets: more than 6000 means `ok`, otherwise `default`.	Let's take one customer from the training data and check what the rules		
active	PASS	KEEP	06-trees	03-decision-trees.md	51	images/03-decision-trees-02-assess-risk-crisp.png	Checking the rules on one customer, then importing the model	original screenshot	1152x570	PASS	none	PASS	```	Writing rules by hand doesn't scale. The point of the decision tree		
active	PASS	KEEP	06-trees	03-decision-trees.md	88	images/03-decision-trees-03-training-crisp.png	Turning rows into dictionaries, vectorizing, and fitting the tree	original screenshot	1152x570	PASS	none	PASS	```	And check how it performs on the validation set:		
active	PASS	KEEP	06-trees	03-decision-trees.md	118	images/03-decision-trees-04-overfit-auc-crisp.png	Validation AUC 0.65 versus training AUC 1.0	original screenshot	1152x570	PASS	none	PASS	```	AUC of 1.0 on training but 0.65 on validation: the tree memorized the		
active	PASS	KEEP	06-trees	03-decision-trees.md	126	images/03-decision-trees-05-memorizing-imagegen.png	An overfit tree memorizes each customer with very specific rules	conceptual imagegen	1363x1154	PASS	none	PASS	failing to generalize.	The reason is that we let the tree grow without limits, so it became		
active	PASS	KEEP	06-trees	03-decision-trees.md	185	images/03-decision-trees-06-learned-rules-imagegen.png	The learned tree: first split on records, then job	conceptual imagegen	1704x923	PASS	none	PASS	with records who work part-time as `default` (class 1), and so on.	A tree with a depth of 1 - a single condition - is called a decision		
active	PASS	KEEP	06-trees	03-decision-trees.md	191	images/03-decision-trees-07-decision-stump-imagegen.png	A deep tree versus a decision stump with one split	conceptual imagegen	1364x1153	PASS	none	PASS	possible decision tree.	The question is: how does the learning algorithm decide which		
active	PASS	KEEP	06-trees	04-decision-tree-learning.md	52	images/04-decision-tree-learning-01-best-threshold-crisp.png	A decision stump: one condition, assets > T - but which T?	original screenshot	1000x570	PASS	none	PASS	`assets > T`. The question is: which threshold `T` is the best?	The condition splits the data into two parts: the left side where the		
active	PASS	KEEP	06-trees	04-decision-tree-learning.md	60	images/04-decision-tree-learning-02-candidate-thresholds-crisp.png	Sorting by assets and marking the left and right sides	original screenshot	1000x570	PASS	none	PASS	are:	```python		
active	PASS	KEEP	06-trees	04-decision-tree-learning.md	84	images/04-decision-tree-learning-03-split-t4000-crisp.png	Splitting the toy dataset with T = 4000	original screenshot	1000x570	PASS	none	PASS	right side: three `ok` and one `default`.	For each side we predict the majority class - the most frequent status.		
active	PASS	KEEP	06-trees	04-decision-tree-learning.md	90	images/04-decision-tree-learning-04-misclassification-rate-crisp.png	Left predicts default with 25% mistakes, right predicts ok with 25%	original screenshot	1000x570	PASS	none	PASS	25% (the one `ok` customer), and on the right also 1/4 = 25%.	This mistake rate is called the misclassification rate, and it is one		
active	PASS	KEEP	06-trees	04-decision-tree-learning.md	183	images/04-decision-tree-learning-06-split-algorithm-crisp.png	The split-finding algorithm in pseudocode	original screenshot	910x660	PASS	none	PASS	```	The misclassification rate is not the only impurity measure.	source-faithful screenshot retained; lower source frame is cropped	
active	PASS	KEEP	06-trees	04-decision-tree-learning.md	191	images/04-decision-tree-learning-07-impurity-criteria-crisp.png	Impurity criteria in the scikit-learn documentation	original screenshot	1000x720	PASS	none	PASS	classification here, decision trees can also solve regression problems.	## Stopping criteria		
active	PASS	KEEP	06-trees	04-decision-tree-learning.md	205	images/04-decision-tree-learning-08-stopping-criteria-imagegen.png	The stopping criteria	conceptual imagegen	1473x1068	PASS	none	PASS	- The maximum number of leaves (decision nodes) was reached.	These stopping criteria are what keep a tree from overfitting.		
active	PASS	KEEP	06-trees	05-decision-tree-tuning.md	25	images/05-decision-tree-tuning-01-parameters-crisp.png	The parameters of DecisionTreeClassifier	original screenshot	2820x1710	PASS	none	PASS	customers.	Tuning means selecting the values that give the best score on the		
active	PASS	KEEP	06-trees	05-decision-tree-tuning.md	65	images/05-decision-tree-tuning-02-max-depth-scores-crisp.png	Validation AUC for different values of max_depth	original screenshot	1581x995	PASS	none	PASS	ones.	## Adding min_samples_leaf		
active	PASS	KEEP	06-trees	05-decision-tree-tuning.md	87	images/05-decision-tree-tuning-03-grid-search-crisp.png	Trying all combinations of max_depth and min_samples_leaf	original screenshot	1040x480	PASS	none	PASS	```	Then we put the scores into a dataframe:		
active	PASS	KEEP	06-trees	05-decision-tree-tuning.md	119	images/05-decision-tree-tuning-04-pivot-crisp.png	The pivot table with the best cell, 0.785	original screenshot	1400x940	PASS	none	PASS	```	Even easier to read as a heatmap - the best cell is the lightest one:		
active	PASS	KEEP	06-trees	05-decision-tree-tuning.md	127	images/05-decision-tree-tuning-05-heatmap-crisp.png	The heatmap of AUC values; max_depth=6 and min_samples_leaf=15 wins	original screenshot	1320x840	PASS	none	PASS	```	The best combination is `max_depth=6` and `min_samples_leaf=15`, with		
active	PASS	KEEP	06-trees	05-decision-tree-tuning.md	140	images/05-decision-tree-tuning-07-wider-search-crisp.png	A wider search over more depths shows several close combinations	original screenshot	1440x840	PASS	none	PASS	search and refine it.	## The final tree		
active	PASS	KEEP	06-trees	05-decision-tree-tuning.md	182	images/05-decision-tree-tuning-06-nan-warning-crisp.png	Sorting by AUC puts a row with max_depth=NaN on top	original screenshot	1440x560	PASS	none	PASS	you pick actually control the size of the tree the way you intend.	## Materials		
active	PASS	KEEP	06-trees	06-random-forest.md	26	images/06-random-forest-01-board-of-experts-imagegen.png	Random forest: each expert sees a random subset of features, gives a probability of default, and the final prediction is the average of all probabilities	conceptual imagegen	1495x1052	PASS	none	PASS	more reliable than the opinion of one.	We can do the same with models. Instead of five people, we have five models		
active	PASS	KEEP	06-trees	06-random-forest.md	58	images/06-random-forest-02-random-forest-imagegen.png	A board of three decision trees: each is trained on a different pair of features, and their predictions are averaged	conceptual imagegen	1492x1054	PASS	none	PASS	1/3 (p1 + p2 + p3).	In scikit-learn, random forest lives in the `ensemble` package. Let's take our		
active	PASS	KEEP	06-trees	06-random-forest.md	87	images/06-random-forest-03-auc-vs-trees-crisp.png	Validation AUC against the number of trees: it grows quickly, then stabilizes	original screenshot	4080x3000	PASS	none	PASS	```	The curve grows quickly at the beginning and then stabilizes: after some		
active	PASS	KEEP	06-trees	06-random-forest.md	133	images/06-random-forest-04-tuning-max-depth-crisp.png	Comparing validation AUC for max_depth of 5, 10 and 15: depth 10 gives the best curve	original screenshot	4080x3120	PASS	none	PASS	```	The curves for `max_depth=10` and `max_depth=15` are clearly better than the		
